"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"WLL","Whiting Petroleum Corporation","5.72","$1.17B","2003","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wll",
"WG","Willbros Group, Inc.","2.09","$129.74M","1996","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/wg",
"WMB","Williams Companies, Inc. (The)","16.1","$12.07B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/wmb",
"WPZ","Williams Partners LP","18.26","$10.98B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/wpz",
"WSM","Williams-Sonoma, Inc.","50.45","$4.53B","n/a","Consumer Services","Home Furnishings","http://www.nasdaq.com/symbol/wsm",
"WGO","Winnebago Industries, Inc.","17.19","$463.78M","n/a","Consumer Non-Durables","Homebuilding","http://www.nasdaq.com/symbol/wgo",
"FUR","Winthrop Realty Trust","12.88","$469.16M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fur",
"WIT","Wipro Limited","11.05","$27.13B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/wit",
"WNS","WNS (Holdings) Limited","27.54","$1.41B","2006","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wns",
"WWW","Wolverine World Wide, Inc.","15.42","$1.59B","n/a","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/www",
"WF","Woori Bank","20.29","$4.55B","2014","Finance","Commercial Banks","http://www.nasdaq.com/symbol/wf",
"WDAY","Workday, Inc.","67.87","$13.17B","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/wday",
"WK","Workiva Inc.","16.56","$675.44M","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/wk",
"INT","World Fuel Services Corporation","38.07","$2.69B","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/int",
"WPT","World Point Terminals, LP","12.63","$440.29M","2013","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/wpt",
"WWE","World Wrestling Entertainment, Inc.","16.8","$1.28B","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/wwe",
"WOR","Worthington Industries, Inc.","26.41","$1.67B","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/wor",
"WPG","WP Glimcher Inc.","9.43","$1.75B","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/wpg",
"WPG^H","WP Glimcher Inc.","25.5877","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wpg^h",
"WPG^I","WP Glimcher Inc.","25.0999","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wpg^i",
"WPX","WPX Energy, Inc.","4.43","$1.22B","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wpx",
"WPXP","WPX Energy, Inc.","25","n/a","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wpxp",
"WYN","Wyndham Worldwide Corp","65.41","$7.59B","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/wyn",
"XTLY","Xactly Corporation","6.85","$199.91M","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/xtly",
"XEL","Xcel Energy Inc.","36.5","$18.52B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/xel",
"XHR","Xenia Hotels & Resorts, Inc.","12.96","$1.45B","2015","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/xhr",
"XRM","Xerium Technologies, Inc.","10.4","$163.69M","2005","Basic Industries","Textiles","http://www.nasdaq.com/symbol/xrm",
"XRX","Xerox Corporation","9.1","$9.21B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/xrx",
"XIN","Xinyuan Real Estate Co Ltd","3.38","$248.53M","2007","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/xin",
